ticket_id,customer_id,subject,priority,status,sla_status,created_at,resolved_at,satisfaction_score
TCK-4001,CUST-1004,Order cancellation inquiry,Medium,Resolved,Within SLA,2026-08-30 08:00:00,2026-09-01 21:00:00,3
TCK-4002,CUST-1052,Incorrect SKU delivered in shipment,Medium,Resolved,Within SLA,2026-08-30 17:00:00,2026-08-31 12:00:00,4
TCK-4003,CUST-1023,Invoice payment terms extension request,Medium,Resolved,Within SLA,2026-08-19 09:00:00,2026-08-22 03:00:00,5
TCK-4004,CUST-1078,Discrepancy on freight surcharge,High,Resolved,Within SLA,2026-09-01 11:00:00,2026-09-02 17:00:00,4
TCK-4005,CUST-1103,Discrepancy on freight surcharge,Critical,Waiting Customer,At Risk,2026-08-22 16:00:00,,4
TCK-4006,CUST-1059,Delayed delivery status inquiry,Low,Resolved,Within SLA,2026-08-30 14:00:00,2026-09-01 21:00:00,4
TCK-4007,CUST-1046,Discrepancy on freight surcharge,High,In Progress,Breached,2026-08-10 14:00:00,,1
TCK-4008,CUST-1039,Incorrect SKU delivered in shipment,Low,Resolved,Within SLA,2026-08-30 15:00:00,2026-08-30 21:00:00,5
TCK-4009,CUST-1094,Discrepancy on freight surcharge,Low,Resolved,Within SLA,2026-08-15 11:00:00,2026-08-16 13:00:00,4
TCK-4010,CUST-1002,Damaged package on delivery,Medium,Waiting Customer,At Risk,2026-08-14 15:00:00,,4
TCK-4011,CUST-1008,Incorrect SKU delivered in shipment,High,Resolved,Within SLA,2026-08-29 17:00:00,2026-09-01 02:00:00,5
TCK-4012,CUST-1054,Damaged package on delivery,Medium,Resolved,Within SLA,2026-09-08 10:00:00,2026-09-09 13:00:00,5
TCK-4013,CUST-1113,Invoice payment terms extension request,Medium,Resolved,Within SLA,2026-08-07 15:00:00,2026-08-08 21:00:00,5
TCK-4014,CUST-1052,Discrepancy on freight surcharge,High,In Progress,Breached,2026-08-26 08:00:00,,4
TCK-4015,CUST-1043,Delayed delivery status inquiry,Critical,Waiting Customer,At Risk,2026-08-08 10:00:00,,3
TCK-4016,CUST-1006,Request for Certificate of Conformance,Medium,Resolved,Within SLA,2026-08-16 09:00:00,2026-08-16 14:00:00,5
TCK-4017,CUST-1115,Incorrect SKU delivered in shipment,Low,Resolved,Within SLA,2026-09-01 09:00:00,2026-09-02 03:00:00,3
TCK-4018,CUST-1060,Request for Certificate of Conformance,Critical,Resolved,Within SLA,2026-08-14 17:00:00,2026-08-14 21:00:00,5
TCK-4019,CUST-1061,Order cancellation inquiry,High,Resolved,Within SLA,2026-08-14 13:00:00,2026-08-16 15:00:00,4
TCK-4020,CUST-1086,Invoice payment terms extension request,Critical,Waiting Customer,At Risk,2026-09-06 17:00:00,,5
TCK-4021,CUST-1017,Incorrect SKU delivered in shipment,Medium,Resolved,Within SLA,2026-08-15 11:00:00,2026-08-16 01:00:00,5
TCK-4022,CUST-1013,Request for Certificate of Conformance,High,Resolved,Within SLA,2026-08-12 11:00:00,2026-08-13 19:00:00,5
TCK-4023,CUST-1024,Urgent quote for high-volume order,High,Resolved,Within SLA,2026-09-04 17:00:00,2026-09-07 15:00:00,4
TCK-4024,CUST-1074,Urgent quote for high-volume order,Medium,Resolved,Within SLA,2026-08-26 14:00:00,2026-08-28 17:00:00,5
TCK-4025,CUST-1019,Delayed delivery status inquiry,Critical,Waiting Customer,At Risk,2026-08-09 11:00:00,,5
TCK-4026,CUST-1002,Damaged package on delivery,Low,Resolved,Within SLA,2026-08-21 10:00:00,2026-08-23 16:00:00,5
TCK-4027,CUST-1002,Order cancellation inquiry,Critical,Resolved,Within SLA,2026-08-28 11:00:00,2026-08-30 18:00:00,3
TCK-4028,CUST-1028,Order cancellation inquiry,High,In Progress,Breached,2026-09-09 15:00:00,,4
TCK-4029,CUST-1096,Urgent quote for high-volume order,High,Resolved,Within SLA,2026-08-27 10:00:00,2026-08-28 22:00:00,5
TCK-4030,CUST-1104,Order cancellation inquiry,Critical,Waiting Customer,At Risk,2026-08-12 13:00:00,,4
TCK-4031,CUST-1034,Invoice payment terms extension request,High,Resolved,Within SLA,2026-09-02 08:00:00,2026-09-03 04:00:00,4
TCK-4032,CUST-1030,Order cancellation inquiry,Low,Resolved,Within SLA,2026-08-13 16:00:00,2026-08-15 09:00:00,5
TCK-4033,CUST-1112,Discrepancy on freight surcharge,High,Resolved,Within SLA,2026-09-03 14:00:00,2026-09-04 04:00:00,4
TCK-4034,CUST-1024,Request for Certificate of Conformance,Medium,Resolved,Within SLA,2026-08-15 11:00:00,2026-08-15 17:00:00,5
TCK-4035,CUST-1094,Discrepancy on freight surcharge,Medium,Waiting Customer,At Risk,2026-09-08 16:00:00,,4
TCK-4036,CUST-1103,Discrepancy on freight surcharge,Medium,Resolved,Within SLA,2026-09-08 10:00:00,2026-09-10 13:00:00,5
TCK-4037,CUST-1013,Damaged package on delivery,Medium,Resolved,Within SLA,2026-08-15 16:00:00,2026-08-18 02:00:00,5
