customer_id,name,tier,credit_limit,email,phone,city,state,status
CUST-1001,Apex Logistics 1,Enterprise,25000,procurement@apexlogistics1.com,+1 (555) 859-5506,Atlanta,GA,Active
CUST-1002,Beacon Manufacturing 1,Mid-Market,25000,procurement@beaconmanufacturing1.com,+1 (555) 792-9935,Dallas,AZ,Active
CUST-1003,Cascade Robotics 1,Enterprise,25000,procurement@cascaderobotics1.com,+1 (555) 195-4582,Atlanta,IL,Active
CUST-1004,Delta Heavy Industries 1,Mid-Market,500000,procurement@deltaheavyindustries1.com,+1 (555) 529-4611,Cleveland,CO,Active
CUST-1005,Echo Medical Systems 1,Enterprise,50000,procurement@echomedicalsystems1.com,+1 (555) 814-7924,Boston,CO,Active
CUST-1006,Falcon Energy 1,Mid-Market,50000,procurement@falconenergy1.com,+1 (555) 881-6514,Dallas,TX,Active
CUST-1007,Genesis Cloud 1,Strategic,25000,procurement@genesiscloud1.com,+1 (555) 467-6635,Denver,IL,Active
CUST-1008,Horizon Freight 1,Strategic,500000,procurement@horizonfreight1.com,+1 (555) 227-7201,Dallas,CO,Active
CUST-1009,Ironclad Security 1,SMB,500000,procurement@ironcladsecurity1.com,+1 (555) 296-2139,Chicago,GA,Active
CUST-1010,Jupiter Dynamics 1,SMB,25000,procurement@jupiterdynamics1.com,+1 (555) 975-4814,Dallas,AZ,Active
CUST-1011,Keystone Electronics 1,SMB,250000,procurement@keystoneelectronics1.com,+1 (555) 750-6977,Seattle,MA,Active
CUST-1012,Lighthouse Marine 1,SMB,50000,procurement@lighthousemarine1.com,+1 (555) 786-5374,Dallas,WA,Active
CUST-1013,Monarch Aerospace 1,Mid-Market,50000,procurement@monarchaerospace1.com,+1 (555) 573-7216,Denver,GA,Active
CUST-1014,Nexus Automation 1,SMB,25000,procurement@nexusautomation1.com,+1 (555) 334-1525,Boston,AZ,Credit_Hold
CUST-1015,Omega Biotech 1,SMB,25000,procurement@omegabiotech1.com,+1 (555) 316-6155,Atlanta,OH,Active
CUST-1016,Pinnacle Retail 1,Strategic,250000,procurement@pinnacleretail1.com,+1 (555) 246-5339,Seattle,GA,Active
CUST-1017,Quantum Optics 1,SMB,500000,procurement@quantumoptics1.com,+1 (555) 538-7543,Boston,GA,Active
CUST-1018,Radiant Materials 1,Mid-Market,500000,procurement@radiantmaterials1.com,+1 (555) 605-2489,Chicago,TX,Active
CUST-1019,Summit Technologies 1,Mid-Market,50000,procurement@summittechnologies1.com,+1 (555) 911-7916,Dallas,AZ,Active
CUST-1020,Titan Mining 1,Strategic,500000,procurement@titanmining1.com,+1 (555) 579-9669,Denver,IL,Active
CUST-1021,Ultra Filtration 1,Enterprise,500000,procurement@ultrafiltration1.com,+1 (555) 868-5371,Boston,TX,Active
CUST-1022,Vanguard Defense 1,SMB,250000,procurement@vanguarddefense1.com,+1 (555) 261-8433,Chicago,CO,Active
CUST-1023,Westlake Chemicals 1,Mid-Market,500000,procurement@westlakechemicals1.com,+1 (555) 208-5889,Atlanta,WA,Active
CUST-1024,Xcel Engineering 1,SMB,50000,procurement@xcelengineering1.com,+1 (555) 652-9689,Chicago,MA,Active
CUST-1025,Zenith Power 1,Strategic,25000,procurement@zenithpower1.com,+1 (555) 214-6947,Denver,GA,Active
CUST-1026,Borealis Sensors 1,Enterprise,50000,procurement@borealissensors1.com,+1 (555) 999-2290,Dallas,OH,Active
CUST-1027,Crestview Labs 1,Enterprise,500000,procurement@crestviewlabs1.com,+1 (555) 884-3060,Seattle,OH,Active
CUST-1028,DuraSteel Corp 1,Mid-Market,100000,procurement@durasteelcorp1.com,+1 (555) 640-7932,Atlanta,GA,Active
CUST-1029,Evergreen Packaging 1,SMB,250000,procurement@evergreenpackaging1.com,+1 (555) 787-7118,Cleveland,OH,Active
CUST-1030,Frontier Turbines 1,Enterprise,50000,procurement@frontierturbines1.com,+1 (555) 330-2049,Boston,IL,Active
CUST-1031,Apex Logistics 2,Mid-Market,500000,procurement@apexlogistics2.com,+1 (555) 325-1117,Dallas,IL,Active
